Date,Traffic_Source,Campaign,Customer_Type,Visitors,Marketing_Spend,Add_to_Cart,Purchases,Revenue,Cart_Abandonment_Rate,Repeat_Purchase_Rate,Conversion_Rate
2023-01-01,Email Campaign,Flash Deals,New,1226,1469.85,261,46.0,6416.7,19.11,20.99,8.91
2023-01-02,Social Media,Flash Deals,New,1559,4429.12,274,153.0,6692.86,49.04,21.91,7.08
2023-01-03,Direct,Winter Promo,New,960,3763.82,69,238.0,4355.64,36.69,8.29,5.92
2023-01-04,Direct,Flash Deals,New,1394,4770.05,162,187.0,5613.54,10.42,10.85,8.47
2023-01-05,Organic Search,Summer Sale,Returning,1230,1720.68,189,117.0,4717.28,20.22,24.67,6.46
2023-01-06,Email Campaign,Flash Deals,New,1195,2808.55,96,287.0,1622.2,20.43,29.27,3.62
2023-01-07,Direct,Summer Sale,Returning,1824,2904.23,50,256.0,4934.49,12.77,11.57,2.86
2023-01-08,Email Campaign,Summer Sale,Returning,1144,4903.62,139,192.0,1876.54,48.39,11.79,2.37
2023-01-09,Organic Search,Holiday Offers,Returning,1738,469.2,191,209.0,4645.19,29.13,16.82,9.1
2023-01-10,Google Ads,Summer Sale,Returning,221,1597.92,369,141.0,6336.27,45.83,29.6,7.39
2023-01-11,Organic Search,Summer Sale,New,566,1035.46,87,65.0,6214.73,22.89,11.72,9.44
2023-01-12,Social Media,Winter Promo,New,1338,1415.53,342,83.0,6963.59,15.01,15.17,6.43
2023-01-13,Organic Search,Weekend Discount,Returning,430,2477.87,431,149.0,1857.35,28.97,27.29,5.26
2023-01-14,Email Campaign,Winter Promo,New,1582,1926.17,188,212.0,6869.11,14.56,5.07,1.54
2023-01-15,Email Campaign,Flash Deals,New,187,2033.99,405,200.0,3809.33,29.44,5.99,7.04
2023-01-16,Direct,Weekend Discount,New,1496,4236.64,382,48.0,4591.41,46.81,20.1,6.24
2023-01-17,Direct,Holiday Offers,New,1223,4657.08,308,168.0,8721.88,30.83,27.68,9.91
2023-01-18,Direct,Holiday Offers,Returning,971,445.04,210,286.0,1081.27,34.66,10.97,3.15
2023-01-19,Organic Search,Holiday Offers,Returning,1787,1123.7,439,,6295.71,16.27,16.74,5.78
2023-01-20,Email Campaign,Winter Promo,New,230,3388.6,227,183.0,6388.43,11.75,16.26,6.86
2023-01-21,Google Ads,Holiday Offers,New,1785,1857.37,59,132.0,4569.94,14.43,16.82,6.8
2023-01-22,Email Campaign,Holiday Offers,New,1432,1345.4,310,206.0,3133.25,33.94,20.56,6.05
2023-01-23,Email Campaign,Flash Deals,New,869,1546.92,456,251.0,,13.8,16.74,7.99
2023-01-24,Direct,Flash Deals,New,443,1680.5,187,246.0,8953.39,25.04,16.19,2.84
2023-01-25,Social Media,Winter Promo,New,1615,4258.48,221,117.0,4978.22,32.0,16.86,7.53
2023-01-26,Direct,Holiday Offers,New,1537,,435,74.0,3978.0,25.55,19.77,6.58
2023-01-27,Direct,Winter Promo,New,905,3573.66,62,130.0,5039.0,16.55,18.43,9.06
2023-01-28,Social Media,Flash Deals,Returning,485,2808.82,217,171.0,7024.51,20.95,26.35,8.62
2023-01-29,Google Ads,Winter Promo,New,1315,1552.9,179,265.0,2311.81,47.13,6.24,3.84
2023-01-30,Direct,Flash Deals,Returning,1055,2156.93,133,88.0,5044.9,37.04,25.83,3.49
2023-01-31,Direct,Holiday Offers,New,376,1355.41,370,269.0,6290.96,29.84,26.1,9.83
2023-02-01,Social Media,Holiday Offers,Returning,1284,3096.42,368,55.0,9537.25,10.51,12.12,5.75
2023-02-02,Google Ads,Winter Promo,New,559,,150,,,49.7,16.57,9.16
2023-02-03,Social Media,Flash Deals,Returning,1437,,378,167.0,4233.26,36.86,15.96,2.47
2023-02-04,Google Ads,Holiday Offers,Returning,121,3176.68,322,246.0,,22.68,10.46,6.79
2023-02-05,Organic Search,Flash Deals,New,352,1051.94,314,263.0,6449.84,45.17,14.92,8.29
2023-02-06,Direct,Flash Deals,New,847,,448,220.0,4210.59,20.34,6.11,9.53
2023-02-07,Direct,Flash Deals,New,956,2044.24,457,173.0,5801.61,31.76,11.95,4.04
2023-02-08,Social Media,Summer Sale,Returning,1684,348.77,87,92.0,8036.11,35.44,25.42,7.52
2023-02-09,Direct,Weekend Discount,Returning,574,4444.42,468,220.0,7348.47,18.84,12.11,5.85
